,Post Type,Profile Name,Date,Time,Likes,Text,AP,sentiment_output,sentiment_probability,English Text (Google Translate),Text_Clean,label,tokenized_review,tokenized_review,sent_bert_token_length,char_count
16,Astronaut Post,Mercy Panameno,13-04-2024,12:35:08,10,"Orgullo Salvadoreño que Bendición dos seres humanos excepcionales súper héroes sin capas motivos de inspiración y admiración, respeto y honra para los dos ",POS,POS,0.910100579,"Salvadoran Pride, Bless two exceptional human beings, super heroes without layers, reasons for inspiration and admiration, respect and honor for both of them.",orgullo salvadore o que bendici n dos seres humanos excepcionales s per h roes sin capas motivos de inspiraci n y admiraci n  respeto y honra para los dos ,0,"Orgullo Salvadore ñ o que Bendici ó n dos seres humanos excepcionales s ú per h é roes sin capas motivos de inspiraci ó n y admiraci ó n , respeto y honra para los dos",36,46,155
17,Astronaut Post,Mario Sanchez,13-04-2024,05:11:07,5,Gran orgullo Salvadoreño ,POS,POS,0.997034192,Great Salvadoran pride,gran orgullo salvadore o ,0,Gran orgullo Salvadore ñ o,5,6,25
18,Astronaut Post,Acosta Marlito,13-04-2024,04:01:29,10,Man te vi  ablando con el en el espacio y verte ablando en persona créeme que  que dicha presi  bendiciones a los dos,NEU,POS,0.998888791,"Man, I saw you talking to him in space and seeing you talking in person, believe me, that said blessings to both of us.",man te vi  ablando con el en el espacio y verte ablando en persona cr eme que  que dicha presi  bendiciones a los dos,1,Man te vi ablando con el en el espacio y verte ablando en persona cr é eme que que dicha presi bendiciones a los dos,25,35,117
19,Astronaut Post,Flora Cabrera,13-04-2024,04:20:06,15,"Hurra! Que sigan saliendo más Salvadoreños con mucho talento y mucho conocimiento como son éstos dos caballeros.
Yo en particular, los admiro mucho!
Felicidades  para los dos!",POS,POS,0.998789251,"Hurrah! May there continue to be more Salvadorans with a lot of talent and a lot of knowledge like these two gentlemen.
I, in particular, admire them a lot!
Congratulations to both of you!",hurra  que sigan saliendo m s salvadore os con mucho talento y mucho conocimiento como son  stos dos caballeros  yo en particular  los admiro mucho  felicidades  para los dos ,0,"Hurra ! Que sigan saliendo m á s Salvadore ñ os con mucho talento y mucho conocimiento como son é stos dos caballeros . 
 
 Yo en particular , los admiro mucho ! 
 
 Felicidades para los dos !",37,54,175
20,Astronaut Post,Jorge Olivares,13-04-2024,03:29:44,13,Dos Gigantes. Dos Titanes. Dos Gladiadores. Dos Guerreros. Dos Personajes que marcaran un punto y aparte en la historia de El Salvador. Dios los siga rodeando de Bendiciones ,POS,POS,0.997100174,Two Giants. Two Titans. Two Gladiators. Two Warriors. Two Characters who will mark a turning point in the history of El Salvador. May God continue to surround you with blessings,dos gigantes  dos titanes  dos gladiadores  dos guerreros  dos personajes que marcaran un punto y aparte en la historia de el salvador  dios los siga rodeando de bendiciones ,0,Dos Gigantes . Dos Titanes . Dos Gladiadores . Dos Guerreros . Dos Personajes que marcaran un punto y aparte en la historia de El Salvador . Dios los siga rodeando de Bendiciones,33,48,174
21,Astronaut Post,Luis Mejia,13-04-2024,11:20:57,8,"Señor presidente estamos muy orgullosos de  usted y todo su grupo de trabajo y recuerde  nosotros nunca los dejaremos solo Saludes desde Ontario Canadá bendiciones para toda su familia 
Y queremos ver más de esta visita y charla con nuestro astronauta  salvadoreño americano Frank Rubio y un 
Gran orgullo para nuestro país El Salvador ",POS,POS,0.998345375,"Mr. President, we are very proud of you and your entire work group and remember, we will never leave you alone. Greetings from Ontario, Canada, blessings for your entire family.
And we want to see more of this visit and talk with our Salvadoran American astronaut Frank Rubio and a
Great pride for our country El Salvador",se or presidente estamos muy orgullosos de  usted y todo su grupo de trabajo y recuerde  nosotros nunca los dejaremos solo saludes desde ontario canad  bendiciones para toda su familia  y queremos ver m s de esta visita y charla con nuestro astronauta  salvadore o americano frank rubio y un  gran orgullo para nuestro pa s el salvador ,0,"Se ñ or presidente estamos muy orgullosos de usted y todo su grupo de trabajo y recuerde nosotros nunca los dejaremos solo Saludes desde Ontario Canad á bendiciones para toda su familia 
 
 Y queremos ver m á s de esta visita y charla con nuestro astronauta salvadore ñ o americano Frank Rubio y un 
 
 Gran orgullo para nuestro pa í s El Salvador",63,98,336
22,Astronaut Post,Daisy Alvarenga,13-04-2024,20:25:12,2,"Wuahh dos hombres dignos de admirar, que orgullosos nos sentimos de ser Salvadoreños, Bendiciones de lo más alto para ambos.",POS,POS,0.99868089,"Wuahh, two men worthy of admiration, how proud we are to be Salvadorans, Blessings from the highest to both of us.",wuahh dos hombres dignos de admirar  que orgullosos nos sentimos de ser salvadore os  bendiciones de lo m s alto para ambos ,0,"Wuahh dos hombres dignos de admirar , que orgullosos nos sentimos de ser Salvadore ñ os , Bendiciones de lo m á s alto para ambos .",27,40,124
23,Astronaut Post,Francisca Abarca,13-04-2024,05:14:49,9,"Que felicidad verlos juntos estaba esperando este momento
Me siento super orgullosa de Uds .Bendiciones  presidente Bukele, astronauta Rubio",POS,POS,0.998710275,"How happy to see you together, I was waiting for this moment.
I feel super proud of you. Blessings President Bukele, astronaut Rubio",que felicidad verlos juntos estaba esperando este momento me siento super orgullosa de uds  bendiciones  presidente bukele  astronauta rubio,0,"Que felicidad verlos juntos estaba esperando este momento 
 
 Me siento super orgullosa de Uds . Bendiciones presidente Bukele , astronauta Rubio",21,42,140
24,Astronaut Post,Rene M. Herrera,13-04-2024,04:40:31,6,Juela .!! Calidad de dos seres humanos  los dos nos hacen sentir orgullosos de ser Salvadorenños..,POS,POS,0.998438537,"Juela.!! Quality of two human beings, both of them make us feel proud to be Salvadorans.",juela     calidad de dos seres humanos  los dos nos hacen sentir orgullosos de ser salvadoren os  ,0,Juela . ! ! Calidad de dos seres humanos los dos nos hacen sentir orgullosos de ser Salvadoren ñ os . .,22,31,98
25,Astronaut Post,Liliana Serrano,13-04-2024,12:08:59,0,"Que Admirables 2 seres  humanos Extraordinarios Y Salvadoreños Humildes, Inteligentes, Brillantes. Que orgullo ser Salvadoreña tuve el honor de saludar al Astronauta Frank Rubio está semana por allí me lo encontré. Saludos para los 2. Bendiciones",POS,POS,0.998352408,"What admirable 2 extraordinary human beings and Humble, Intelligent, Brilliant Salvadorans. How proud to be Salvadoran, I had the honor of greeting Astronaut Frank Rubio this week when I met him there. Greetings to the 2. Blessings",que admirables 2 seres  humanos extraordinarios y salvadore os humildes  inteligentes  brillantes  que orgullo ser salvadore a tuve el honor de saludar al astronauta frank rubio est  semana por all  me lo encontr   saludos para los 2  bendiciones,0,"Que Admirables 2 seres humanos Extraordinarios Y Salvadore ñ os Humildes , Inteligentes , Brillantes . Que orgullo ser Salvadore ñ a tuve el honor de saludar al Astronauta Frank Rubio est á semana por all í me lo encontr é . Saludos para los 2 . Bendiciones",48,75,246
26,Astronaut Post,Hannáh Elsi Rolling,13-04-2024,17:47:05,2,"Que bellos esos dos hombres sabios. Destacar a Frank Rubio por esa humildad que le caracteriza, gracias por visitar a este país y ayudar a impulsar a los jóvenes a prepararse tomando las mejores decisiones. Y al Presidente Nayib Bukele por luchar cada día ante muchos obstáculos para dar un país mejor que todos merecemos. Que reciban las mejores bendiciones de Dios. ❤️❤️❤️❤️",POS,POS,0.998711586,"How beautiful those two wise men. I would like to highlight Frank Rubio for the humility that characterizes him, thank you for visiting this country and helping encourage young people to prepare themselves by making the best decisions. And to President Nayib Bukele for fighting every day in the face of many obstacles to provide a better country that we all deserve. May you receive the best blessings from God. ❤️❤️❤️❤️",que bellos esos dos hombres sabios  destacar a frank rubio por esa humildad que le caracteriza  gracias por visitar a este pa s y ayudar a impulsar a los j venes a prepararse tomando las mejores decisiones  y al presidente nayib bukele por luchar cada d a ante muchos obst culos para dar un pa s mejor que todos merecemos  que reciban las mejores bendiciones de dios  ,0,"Que bellos esos dos hombres sabios . Destacar a Frank Rubio por esa humildad que le caracteriza , gracias por visitar a este pa í s y ayudar a impulsar a los j ó venes a prepararse tomando las mejores decisiones . Y al Presidente Nayib Bukele por luchar cada d í a ante muchos obst á culos para dar un pa í s mejor que todos merecemos . Que reciban las mejores bendiciones de Dios . ❤ ️ ❤ ️ ❤ ️ ❤ ️",85,121,368
27,Astronaut Post,Merci Ayala,13-04-2024,03:21:33,5,orgullosa de mi excelentísimo señor presidente Nayib Bukele por su hospitalidad con nuestros hermanos salvadoreños orgullo de nuestro país ,POS,POS,0.995576859,"proud of my excellency president Nayib Bukele for his hospitality to our Salvadoran brothers, pride of our country",orgullosa de mi excelent simo se or presidente nayib bukele por su hospitalidad con nuestros hermanos salvadore os orgullo de nuestro pa s ,0,orgullosa de mi excelent í simo se ñ or presidente Nayib Bukele por su hospitalidad con nuestros hermanos salvadore ñ os orgullo de nuestro pa í s,27,40,139
28,Astronaut Post,Elizabeth Mendez,13-04-2024,02:56:26,5,Un salvadoreño más poniendo en alto a El Salvador saludos y BIENVENIDO,POS,POS,0.917673349,"One more Salvadoran highlighting El Salvador, greetings and WELCOME",un salvadore o m s poniendo en alto a el salvador saludos y bienvenido,0,Un salvadore ñ o m á s poniendo en alto a El Salvador saludos y BIENVENIDO,16,19,70
29,Astronaut Post,Josue Mejía,13-04-2024,02:54:38,5,Algo bien otro nivel de galaxias ,NEU,NEU,0.996709824,Something else another level of galaxies,algo bien otro nivel de galaxias ,1,Algo bien otro nivel de galaxias,6,11,33
30,Astronaut Post,Jorge Orellana,13-04-2024,15:53:11,1,"Dos personas que han puesto a El Salvador en la mirada del mundo, Dios me los bendiga.",POS,POS,0.998736441,"Two people who have put El Salvador in the eyes of the world, God bless them.",dos personas que han puesto a el salvador en la mirada del mundo  dios me los bendiga ,0,"Dos personas que han puesto a El Salvador en la mirada del mundo , Dios me los bendiga .",19,25,86
31,Astronaut Post,Yanira Coreas,13-04-2024,03:04:26,8,Felicidades ala mamá de Rubio y a El por su humildad hablando perfecto español ♥️  Delen la llave o la medalla Yo ofrezco la de Usulutàn Que ejemplo más grande de Actitud de Éxito y no es creído el zipote ♥️,POS,POS,0.995572567,Congratulations to Rubio's mother and to him for his humility speaking perfect Spanish ♥️ Give them the key or the medal I offer the one from Usulutàn What a great example of an Attitude of Success and the zipote is not believed ♥️,felicidades ala mam  de rubio y a el por su humildad hablando perfecto espa ol   delen la llave o la medalla yo ofrezco la de usulut n que ejemplo m s grande de actitud de  xito y no es cre do el zipote ,0,Felicidades ala mam á de Rubio y a El por su humildad hablando perfecto espa ñ ol ♥ ️ Delen la llave o la medalla Yo ofrezco la de Usulut à n Que ejemplo m á s grande de Actitud de É xito y no es cre í do el zipote ♥ ️,53,69,203
32,Astronaut Post,La Yoa,13-04-2024,02:57:45,12,2 Salvadoreños dignos de admirar .,POS,POS,0.998170376,2 Salvadorans worth admiring.,2 salvadore os dignos de admirar  ,0,2 Salvadore ñ os dignos de admirar .,8,11,34
33,Astronaut Post,Mirna Quiroz,13-04-2024,03:55:09,8,Carisma Humildad y Grandeza en los dos Se les admira  Dios le Bendiga Grandemente Presidente Un saludo desde Honduras ,POS,POS,0.930658937,#ERROR!,carisma humildad y grandeza en los dos se les admira  dios le bendiga grandemente presidente un saludo desde honduras ,0,Carisma Humildad y Grandeza en los dos Se les admira Dios le Bendiga Grandemente Presidente Un saludo desde Honduras,19,34,118
34,Astronaut Post,Yanet Quinteros,13-04-2024,08:15:45,7,DOS GRANDES ♥️♥️♥️♥️♥️♥️♥️,POS,POS,0.997083604,TWO BIG ♥️♥️♥️♥️♥️♥️♥️,dos grandes ,0,DOS GRANDES ♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️,16,10,12
35,Astronaut Post,William Merlos,13-04-2024,03:11:22,3,Dos grandes hombres salvadoreños bendiciones para ambos y sus familias ❤️❤️,POS,POS,0.998747706,"Two great Salvadoran men, blessings to both of them and their families ❤️❤️",dos grandes hombres salvadore os bendiciones para ambos y sus familias ,0,Dos grandes hombres salvadore ñ os bendiciones para ambos y sus familias ❤ ️ ❤ ️,16,23,71
36,Astronaut Post,Raul Guevara,13-04-2024,02:57:06,7,2 grandes personajes salvadoreños  bravoo,POS,POS,0.998249829,2 great Salvadoran characters bravoo,2 grandes personajes salvadore os  bravoo,0,2 grandes personajes salvadore ñ os bravoo,7,11,41
37,Astronaut Post,Juan Camilo Vargas Gutierrez,13-04-2024,02:57:02,6,Desde Colombia señor nayib bendiciones si todo es cierto que el cambio es honesto y no termina siendo igual o peor usted tiene la bendición de dios muchas gracias si se puede,POS,POS,0.684596658,"From Colombia, Mr. Nayib, blessings if everything is true that the change is honest and does not end up being the same or worse, you have God's blessing, thank you very much if you can",desde colombia se or nayib bendiciones si todo es cierto que el cambio es honesto y no termina siendo igual o peor usted tiene la bendici n de dios muchas gracias si se puede,0,Desde Colombia se ñ or nayib bendiciones si todo es cierto que el cambio es honesto y no termina siendo igual o peor usted tiene la bendici ó n de dios muchas gracias si se puede,36,57,174
38,Astronaut Post,Alba Beltran,13-04-2024,03:34:14,12,Se an encontrado dos grandes de la historia dos personas que están asiendo historia para mi hermoso país Bendito seas padre celestial por prestarnos a estos dos hombres es un honor muy grande presumirlos mi presidente nayid bukele y fran Rubio  nuestro Astronauta salvadoreño mi país está brillando y el mundo lo está admirando dos hombres unidos en una sola voz,POS,POS,0.998566926,"Two great people in history have been found, two people who are making history for my beautiful country. Bless you, heavenly father, for lending us these two men. It is a very great honor to show them off. My president, Nayid Bukele and Fran Rubio, our Salvadoran astronaut, my country is shining and the The world is admiring him, two men united in one voice",se an encontrado dos grandes de la historia dos personas que est n asiendo historia para mi hermoso pa s bendito seas padre celestial por prestarnos a estos dos hombres es un honor muy grande presumirlos mi presidente nayid bukele y fran rubio  nuestro astronauta salvadore o mi pa s est  brillando y el mundo lo est  admirando dos hombres unidos en una sola voz,0,Se an encontrado dos grandes de la historia dos personas que est á n asiendo historia para mi hermoso pa í s Bendito seas padre celestial por prestarnos a estos dos hombres es un honor muy grande presumirlos mi presidente nayid bukele y fran Rubio nuestro Astronauta salvadore ñ o mi pa í s est á brillando y el mundo lo est á admirando dos hombres unidos en una sola voz,71,104,362
39,Astronaut Post,Frank Cálix,13-04-2024,05:20:37,17,"Brillante reunión del Coronel Astronauta Frank Rubio, Embajador de los Estados Unidos en El Salvador,  con nuestro Presidente de la República Nayib Bukele; excelente y felices de verles juntos y orgullosos de ser salvadoreños. Miles de bendiciones, Diosito  les ilumine y de mucha sabiduría en su caminar.",POS,POS,0.998483241,"Brilliant meeting of Astronaut Colonel Frank Rubio, Ambassador of the United States in El Salvador, with our President of the Republic Nayib Bukele; excellent and happy to see them together and proud to be Salvadorans. Thousands of blessings, may God enlighten you and give you much wisdom in your walk.",brillante reuni n del coronel astronauta frank rubio  embajador de los estados unidos en el salvador   con nuestro presidente de la rep blica nayib bukele  excelente y felices de verles juntos y orgullosos de ser salvadore os  miles de bendiciones  diosito  les ilumine y de mucha sabidur a en su caminar ,0,"Brillante reuni ó n del Coronel Astronauta Frank Rubio , Embajador de los Estados Unidos en El Salvador , con nuestro Presidente de la Rep ú blica Nayib Bukele ; excelente y felices de verles juntos y orgullosos de ser salvadore ñ os . Miles de bendiciones , Diosito les ilumine y de mucha sabidur í a en su caminar .",61,93,305
40,Astronaut Post,Elpotrillodelasierrahn Romero,13-04-2024,02:57:42,22,Bendiciones para Todos los salvadoreños ,POS,NEU,0.685680151,Blessings for all Salvadorans,bendiciones para todos los salvadore os ,0,Bendiciones para Todos los salvadore ñ os,7,10,40
41,Astronaut Post,Salvador Mendoza,13-04-2024,03:08:28,17,El mejor presidente salvadoreño nos canbio radicalmente se le desea muchas bendiciones,POS,POS,0.997227132,"The best Salvadoran president radically changed us, we wish him many blessings",el mejor presidente salvadore o nos canbio radicalmente se le desea muchas bendiciones,0,El mejor presidente salvadore ñ o nos canbio radicalmente se le desea muchas bendiciones,14,23,86
42,Astronaut Post,Amparo Rivera,13-04-2024,03:17:57,12,"Dios lo bendiga Grandemente  
Colombia 
Lo admiro mucho señor presidente",POS,POS,0.998374462,"God bless you Greatly
Colombia
I admire you very much Mr. President",dios lo bendiga grandemente   colombia  lo admiro mucho se or presidente,0,"Dios lo bendiga Grandemente 
 
 Colombia 
 
 Lo admiro mucho se ñ or presidente",12,19,72
43,Astronaut Post,Iluminada Ramos Garcia,13-04-2024,03:14:47,11,Saludos y bendiciones desde Cuba ,POS,NEU,0.788554072,Greetings and blessings from Cuba,saludos y bendiciones desde cuba ,0,Saludos y bendiciones desde Cuba,5,10,33
44,Astronaut Post,Ana Elvira Castillo,13-04-2024,06:06:23,0,"Un gran orgullo para todos los Salvadoreños.
Bendiciones ",POS,POS,0.979847848,"A great pride for all Salvadorans.
Blessings",un gran orgullo para todos los salvadore os  bendiciones ,0,"Un gran orgullo para todos los Salvadore ñ os . 
 
 Bendiciones",11,16,57
45,Astronaut Post,Jair Rios,13-04-2024,03:02:17,6,Lo admiro mucho señor presidente.. muchos éxitos,POS,POS,0.998517335,I admire you very much Mr. President.. many successes,lo admiro mucho se or presidente   muchos  xitos,0,Lo admiro mucho se ñ or presidente . . muchos é xitos,12,16,48
46,Astronaut Post,Hugo Gomez,13-04-2024,11:36:14,0,Pongase serio Nayib Bukele  no nos venga con esa ud bien save que nadie a salido al espacio,NEG,NEG,0.998993933,"Get serious Nayib Bukele, don't come to us with that, well know that no one has gone to space",pongase serio nayib bukele  no nos venga con esa ud bien save que nadie a salido al espacio,2,Pongase serio Nayib Bukele no nos venga con esa ud bien save que nadie a salido al espacio,18,29,91
47,Astronaut Post,Guadalupe Ayala,13-04-2024,15:03:52,9,"El Astronauta Rubio,  descendencia de Salvadoreños,es  una celebridad mundial, es un ejemplo de superación para nuestros jóvenes y nuestro presidente Bukele, también es una celebridad mundial, por su ahínco, sus valores y buenos deseos para dirigir a nuestro país, a un futuro mejor. Bendiciones",POS,POS,0.997766137,"Astronaut Rubio, descendant of Salvadorans, is a world celebrity, he is an example of improvement for our young people and our president Bukele, is also a world celebrity, for his efforts, his values ​​and good wishes to lead our country to a future. better. Blessings",el astronauta rubio   descendencia de salvadore os es  una celebridad mundial  es un ejemplo de superaci n para nuestros j venes y nuestro presidente bukele  tambi n es una celebridad mundial  por su ah nco  sus valores y buenos deseos para dirigir a nuestro pa s  a un futuro mejor  bendiciones,0,"El Astronauta Rubio , descendencia de Salvadore ñ os , es una celebridad mundial , es un ejemplo de superaci ó n para nuestros j ó venes y nuestro presidente Bukele , tambi é n es una celebridad mundial , por su ah í nco , sus valores y buenos deseos para dirigir a nuestro pa í s , a un futuro mejor . Bendiciones",65,100,295
48,Astronaut Post,Gloria Torres,13-04-2024,03:06:31,2,Oh qué reunión de dos salvadoreños que han puesto muy en alto nuestro país los admiro por su humildad y entrega para hacer de este mundo algo diferente gracias a Dios por sus vidas y que sirven de inspiración a grandes y chicos para luchar por nuestros sueños Dios les bendiga mi presidente y nuestro héroe Fran Rubio orgullos salvadoreños,POS,POS,0.998395622,Oh what a meeting of two Salvadorans who have put our country very highly. I admire them for their humility and dedication to make this world something different. Thank God for their lives and who serve as an inspiration to adults and children to fight for our dreams. God. Bless my president and our hero Fran Rubio Salvadoran pride,oh qu  reuni n de dos salvadore os que han puesto muy en alto nuestro pa s los admiro por su humildad y entrega para hacer de este mundo algo diferente gracias a dios por sus vidas y que sirven de inspiraci n a grandes y chicos para luchar por nuestros sue os dios les bendiga mi presidente y nuestro h roe fran rubio orgullos salvadore os,0,Oh qu é reuni ó n de dos salvadore ñ os que han puesto muy en alto nuestro pa í s los admiro por su humildad y entrega para hacer de este mundo algo diferente gracias a Dios por sus vidas y que sirven de inspiraci ó n a grandes y chicos para luchar por nuestros sue ñ os Dios les bendiga mi presidente y nuestro h é roe Fran Rubio orgullos salvadore ñ os,75,104,339
